CODE_BARRES;NOM;MARQUE;CATEGORIE;ENERGIE_100G;MAT_GRASSES;GRAISSES_SATUREES;GLUCIDES;SUCRES;FIBRES;PROTEINES;SEL;SODIUM;CALCIUM
3250390012351;Fromage Fleur d'Ange;Pâturages;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de vache, Fromages pasteurisés, Fromage a pate molle double creme;332.0;30.0;21.0;0.5;0.5;0.5;16.0;1.4;0.56;0.337
3250391422593;Spaghetti blé complet;Fiorini,Sélection Intermarché,Les Mousquetaires;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes alimentaires, Pâtes alimentaires de céréales, Pâtes sèches, Pâtes de blé dur, Spaghetti, Pâtes de blé dur complet, Spaghettis de blé dur, Spaghettis de blé dur complet, en:whole-wheat-spaghetti;346.0;2.3;0.3;65.0;3.6;7.1;13.4;0.03;0.012;
8711327459465;Lipton Thé Vert Bio Citron 20 sachets;Lipton;Aliments et boissons à base de végétaux, Boissons, Boissons chaudes, Boissons à base de végétaux, Thés, Thés verts, Boissons sans sucre ajouté, Thé vert infusé non sucré;4.0;0.1;0.1;0.5;0.5;;0.5;0.01;0.004;
3229820787015;Amande sans sucre;Bjorg;Plant-based foods and beverages, Beverages, Plant-based foods, Dairy substitutes, Milk substitutes, Nuts and their products, Plant-based beverages, Plant-based milk alternatives, Nut-based drinks, Almond-based drinks, Unsweetened plain almond-based drinks;25.0;1.7;0.2;1.6;0.5;0.5;0.7;0.05;0.02;60.0
2644765027551;5 CROISSANTS + 5 PAINS AU CHOCOLAT PUR BEURRE;Intermarché;Snacks, Snacks sucrés, Viennoiseries, Croissants, Croissants au beurre, Pains au chocolat;400.0;19.7;11.49;48.6;9.7;;7.4;0.75;0.3;
8712100482199;Carte D'or Glace Crème Glacée Vanille Noix de Pécan 900ml;Carte D'or,Unilever,Façon Glacier,Miko;Desserts, Surgelés, Desserts glacés, Glaces et sorbets, Glaces, Crèmes glacées en pot, Glaces à la vanille;133.0;5.2;3.6;20.0;17.0;0.5;1.2;0.1;0.04;
3250391447060;dattes dénoyautées bio;Paquito;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Produits déshydratés, Fruits, Aliments à base de plantes séchées, Fruits secs, Dattes, Dattes Deglet Nour, Dattes dénoyautées;289.0;0.0;0.0;64.0;58.0;6.9;2.2;0.01;0.004;
3249760011148;Orangina et sa pulpe.;Orangina,Schweppes;Aliments et boissons à base de végétaux, Boissons, Boissons à base de végétaux, Boissons gazeuses, Boissons aux fruits, Sodas, Sodas aux fruits, Sodas à l'orange, Boissons avec sucre ajouté;41.0;0.1;0.0;9.7;9.6;;0.1;0.02;0.008;
8718114825199;Knorr Soupe Douceur de Poireaux Pommes Terre 80g 3 Portions;Knorr;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Plats préparés, Produits déshydratés, Produits lyophilisés à reconstituer, Soupes, Plats préparés déshydratés, Soupes de légumes, Soupes déshydratées, Soupes de légumes déshydratées;47.0;2.4;1.4;5.5;0.8;;0.7;0.7;0.28;
3523230011419;Yaourt brassé au lait entier;BIONAT;Produits laitiers, Produits fermentés, Desserts, Produits laitiers fermentés, Desserts lactés, Desserts lactés fermentés, Yaourts, Yaourts brassés, Yaourts vanille;94.0;2.7;1.6;14.0;13.0;0.1;3.5;0.08;0.032;120.0
3664346300148;Chocolat au lait;Poulain;Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats au lait, Chocolat canada, Tablette-de-chocolat;559.0;35.0;21.0;52.0;51.0;1.5;7.2;0.22;0.088;
3410280024387;Macaroni;Top budget;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Céréales et dérivés, Pâtes alimentaires, Pâtes alimentaires de céréales, Pâtes sèches, Pâtes de blé dur, Macaroni de blé dur;359.0;1.7;0.3;71.9;3.7;3.6;12.2;0.04;0.016;
3250390000938;Macédoine de légumes;Saint eloi,Sélection des Mousquetaires,Les Mousquetaires;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Snacks, Conserves, Aliments à base de fruits et de légumes, Snacks salés, Amuse-gueules, Aliments à base de plantes en conserve, Plats préparés, Légumes et dérivés, Légumes en conserve, Légumes préparés, Macédoines de légumes en conserve, Entrées froides, Macédoines de légumes, en:Canned-drained-diced-mixed-vegetables;39.0;0.5;0.1;7.0;1.3;3.4;2.9;0.66;0.264;
3250391485123;Poisson pané Riz tomaté;Monique ranou;Produits de la mer, Poissons et dérivés, Plats préparés, Plats préparés au poisson, Préparations de poisson, Produits panés, Poissons panés, Plats préparés à réchauffer au micro-ondes;128.0;4.4;1.1;17.1;1.8;;4.4;1.05;0.42;
3250390308003;Crêpe Jambon emmental;Monique ranou;Plats préparés, Crêpes et galettes, Crêpes, Crêpes fourrées, Crêpes fourrées salées, Crêpes au fromage, Crêpes au jambon;165.0;7.2;1.9;17.5;3.6;1.3;6.9;0.65;0.26;
3229820019208;Pain complet seigle;Bjorg;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains de seigle, Pains complets;198.0;1.3;0.2;37.0;4.0;10.0;4.6;1.1;0.44;
3250390453505;Rillettes de thon;Odyssée;Produits de la mer, Poissons et dérivés, Poissons, Produits à tartiner, Poissons gras, Produits à tartiner salés, Rillettes, Thons, Préparations de poisson, Rillettes de poissons, Rillettes de thon;268.0;22.0;1.7;1.6;0.5;0.0;16.0;1.2;0.48;
3250390453529;Rillettes de saumon;Odyssée;Produits de la mer, Poissons et dérivés, Poissons, Viandes et dérivés, Produits à tartiner, Poissons gras, Plats préparés, Viandes, Charcuteries, Produits à tartiner salés, Frais, Plats préparés au poisson, Rillettes, Préparations de poisson, Rillettes de poissons, Saumons, Rillettes de saumon;224.0;15.0;1.8;7.8;0.5;1.3;14.0;1.1;0.44;
3250391251919;Boudin blanc nature;Monique ranou;Snacks, Viandes et dérivés, Snacks salés, Amuse-gueules, Plats préparés, Viandes, Charcuteries, Poissons et viandes et oeufs, Frais, Porc et dérivés, Abats, Porc, Produits tripiers, Boudins, Boudins blancs, Entrees-chaudes;278.0;24.0;10.0;5.8;2.5;0.5;9.5;1.1;0.44;
