CODE_BARRES;NOM;MARQUE;CATEGORIE;ENERGIE_100G
3302740057472;Ravioli bolognaise;Fleury Michon;Viandes et dérivés, Plats préparés, Plats à base de pâtes, Plats préparés à la viande, Pâtes farcies, Plats au bœuf, Pâtes farcies à la viande, Ravioli, Ravioli à la viande, Raviolis au bœuf, Ravioli à la bolognaise;122.0
7613032192570;NESTLE LION Céréales 480g;Nestlé, Lion;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat, Céréales au caramel;409.0
7613036669146;NESTLE CHOCAPIC BIO Céréales;Nestlé,Chocapic;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat;391.0
3387390326574;Cookie Crisp;Cookie Crisp,Nestlé;Aliments et boissons à base de végétaux, Aliments d'origine végétale, Petit-déjeuners, Céréales et pommes de terre, Céréales et dérivés, Céréales pour petit-déjeuner, Céréales au chocolat, Céréales extrudées;395.0
4000177158326;Capri Sun multi vitamin;Capri-Sun;Aliments et boissons à base de végétaux, Boissons, Surgelés, Boissons à base de végétaux, Boissons aux fruits, Boissons avec sucre ajouté;38.0
7622210100917;Milka - Choco Pause;Milka,Mondelez;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Gâteaux, Biscuits au chocolat, Biscuits fourrés;507.0
3250391819256;Le Sainte-Maure - Fromage de chèvre;Pâturages,Intermarché;Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de chèvre, Fromages pasteurisés;
3250390111627;Tableau d'honneur chocolat au lait - noisette;Chabrior;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits au chocolat au lait, Petits beurres, Biscuits tablette de chocolat, Biscuits tablette de chocolat au lait;499.0
3250390003977;Biscuits tableau d'honneur chocolat noir;Chabrior;Snacks, Snacks sucrés, Biscuits et gâteaux, Biscuits, Biscuits au chocolat, Biscuits au chocolat noir;502.0
7622400817410;noir truffé;cote d\'or;Snacks, Snacks sucrés, Cacao et dérivés, Chocolats, Chocolats noirs, Chocolats fourrés, Chocolats noirs fourrés;585.0
